"Name","Year","Directors","Producers","Actors"
"Speak","2004","Jessica Sharzer","Fred Berner, Matthew Myers, Matt Myers","Kristen Stewart, Elizabeth Perkins, Steve Zahn, Hallee Hirsh, Michael Angarano, Eric Lively, Robert John Burke, D. B. Sweeney, Allison Siko, Leslie Lyles, Remy Brommer, Dick Hagerman"
"Volcano","1997","Mick Jackson","Stokely Chaffin, Martha Cotton, Andrew Z. Davis, Neal H. Moritz","Tommy Lee Jones, Anne Heche, Don Cheadle, Gaby Hoffmann, Keith David, John Carroll Lynch, Michael Rispoli, Jacqueline Kim, John Corbett, Richard Schiff, Luann Lee, Marcello Thedford, Laurie Lathem, Bert Kramer, Bo Eason, James MacDonald, Dayton Callie, Michael Cutt, Kevin Bourland, Valente Rodriguez, Sheila Howard, Sheila Howard, Gerry Black, Susie Essman, Lou Myers, Gareth Williams, Juan Gabriel Reynoso, Angela Albarez, Richard Penn, Jennifer Estlin, Mickey Cottrell, Darnell Suttles, Ken Kerman, Sal Rendino, Michael Manuel, Jared Thorne, Taylor Thorne, Brad Parker, Pete Kasper, Brian Markinson, Robert Wisdom, Katie Rich, Ceal Coleman, Phil Nee, Gary Cervantes, George Zaver, Marty Levy, Wayne Grace, John Bishop, Marcia del Mar, Mother Love, Kayli DeGregorio, Kelsi DeGregorio, Steven Maines, Josie Dapar, Joy Baggish, Ron Perkins, Todd Sible, Joshua Fardon, Catherine Schreiber, David Pressman, Danny Comden, Michael McGrady, Michole Briana White, Steve MacLaughlin, Howard DuVall, Sam Alejan, Gary Kent James, Robert Tittor, John Perry Edson, David T. Mabowe, Ken Thomas, Eddie J. Low, Georganna Barry, Tom Crabson, Rick Rogers, Harvey Levin, Shepard Smith, Larry Carroll, Christopher Spinder, Penny Griego, Jeremy Thompson, Kerry Kilbride, Jennifer Bjorklund, Angie Crouch, Rick Garcia, Frank Buckley, Peter Trunk, Steve Edwards, Terry Anzur, Sasha Foo, Lonnie Lardner, Chris Myers, Michael Villani, Pat Lalama, Charles Perez, Paula Bond, Teresa Quevedo-Stoll, Sandra Clark, Leo Quinones"
"Monsieur Verdoux","1947","Charlie Chaplin","Charlie Chaplin","Charlie Chaplin, Edna Purviance, Isobel Elsom, Martha Raye, Irving Bacon, Robert Lewis, Allison Roddan, Audrey Betz, Ada May, Marjorie Bennett, Helene Heigh, Mady Correll, Marilyn Nash, William Frawley"
"The Big Chill","1983","Lawrence Kasdan","Michael Shamberg","Kevin Kline, Jeff Goldblum, Tom Berenger, Meg Tilly, Mary Kay Place, JoBeth Williams, William Hurt, Glenn Close, Don Galloway, James Gillis, Ken Place, Jon Kasdan, Ira Stiltner, Jake Kasdan, Muriel Moore"
"Carnal Knowledge","1971","Mike Nichols","Mike Nichols","Candice Bergen, Art Garfunkel, Ann-Margret, Carol Kane, Jack Nicholson, Rita Moreno, Cynthia O'Neal"
"Poison Ivy","1992","Katt Shea","Andy Ruben","Drew Barrymore, Sara Gilbert, Tom Skerritt, Cheryl Ladd, Leonardo DiCaprio, Jeanne Sakata, Alan Stock, J.B. Quon, E.J. Moore"
"Garden State","2004","Zach Braff","Pamela Abdy, Dan Halsted, Gary Gilbert, Richard Klubeck","Zach Braff, Natalie Portman, Peter Sarsgaard, Ian Holm, Jean Smart, Michael Weston, Jackie Hoffman, Denis O'Hare, Method Man, Amy Ferguson, Alex Burns, Jayne Houdyshell, Jim Parsons, Trisha LaFache, Armando Riesco, Geoffrey Arend, Kenneth Graymez, George C. Wolfe, Austin Lysy, Gary Gilbert, Jill Flint, Christopher Carley, Yvette Mercedes, Ron Leibman, Ann Dowd, Ato Essandoh, Wynter Kullman, Soara-Joye Ross, Ryan B. Moschetti, Joe Bacino, Tracey Antosiweicz, Seth Michael May, Debbon Ayer, Ice, Magoo, Joanna Leslie, Pamela Abdy, Marc Alan Austen, David Barroso, Courtney Delong, James Ecklund, Lori Finkel, Keith Hallworth, Ben Hauck, Jakob Hawkins, Joe Ho, Jennifer Johns, Michael Marinoff, Lisa Soule, Jenna Willis"
"Jersey Girl","2004","Kevin Smith","Scott Mosier","Ben Affleck, Liv Tyler, Raquel Castro, George Carlin, Jason Biggs, Jennifer Lopez, Harley Quinn Smith, Matt Damon, Will Smith, Mike Starr, Stephen Root, Jennifer Schwalbach Smith, Jason Lee, S. Epatha Merkerson, Paul Litowsky, Betty Aberlin, Matt McFarland, Sarah Stafford, Christian Fan, Victor Chavez, William Mace, Jada Copeland Goodman, Alice Schaerer, Brian T. Delaney, Carol Florence, Matthew Maher, Robert McKay, Ernest O'Donnell, Cymande Lewis, Dan Etheridge, Mark Jwayad, Charles Gilbert, Charles McCloskey, Matthew Cloran, Tom Cleary, John Willyung, Edward Janda, Anthony Bosco, Louis Centanni, Meghan Elizabeth, Keith Moyer, Anthony Parrulli, Christopher Pickhardt, David C. Roehm Sr., Lisa Roumain, Antonio Saillant, Charley Scalies, Faith Shin, Hope Shin, Ron Suchoplas, Ron Suchoplas"
"Prime Cut","1972","Michael Ritchie","","Gene Hackman, Lee Marvin, Sissy Spacek, Les Lannom, Gregory Walcott, Angel Tompkins, William Morey, Janit Baldwin, Clint Ellison, Howard Platt"
"Against All Odds","1984","Taylor Hackford","William S. Gilmore, Taylor Hackford","Rachel Ward, Jeff Bridges, Swoosie Kurtz, Dorian Harewood, James Woods, Jane Greer, Richard Widmark, Alex Karras, Saul Rubinek, Pat Corley, Bill McKinney, Allen Williams, Sam Scarber, Jon St. Elwood, Tamara Stafford, Jonathan Terry, Valia Valentinoff, Ted White, Stone Bower, Mel Scott-Thomas, Barnetta McCarthy, Ginger LaBrie, David Dayan, Tom Kelly, Coati Mundi, Tundra the Wonder Dog, Thomas Browder, Adriana Kaegi, Cheryl Poirier, Taryn Hagey"
"An Angel at My Table","1990","Jane Campion","Grant Major, Bridget Ikin","Kerry Fox, Alexia Keogh, Karen Fergusson, Iris Churn, Jessie Mune, Kevin J. Wilson, Francesca Collins, Melina Bernecker, Mark Morrison, Katherine Murray-Cowper, Maggie Tarver"
"Babe: Pig in the City","1998","George Miller","Doug Mitchell, George Miller, Bill Miller","Magda Szubanski, James Cromwell, Mary Stein, E.G. Daily, Danny Mann, Steven Wright, Mickey Rooney, Nathan Kress, James Cosmo, Adam Goldberg, Glenne Headly, Naomi Watts, Danny Mann, Myles Jeffrey, Stanley Ralph Ross, Stanley Ralph Ross, Russi Taylor, Russi Taylor, Eddie Barth, Eddie Barth, Bill Capizzi, Miriam Margolyes, Hugo Weaving, Roscoe Lee Browne, Paul Livingston, Babs McMillan, Matt Parkinson, Julie Godfrey, Kim Story, Richard Carter, Simon Westaway, Margaret Christensen, Janet Foye, Pamela Hawken, Basil Clarke, Cecelia Yates, Damian Monk, Terrell Dixon, Anthony Phelan, Gabby Millgate, Van Epperson, Mark Gerber, Ken Radley, John Samaha, Gareth Clydesdale, Paul Moxey, Ken Johnson, Jennifer Kent, Richard Huggett, Michael Boxer, Felix Williamson, Ric Herbert, David Allsberry, Steve Martin, Hubert Wells, John Walton, Gandhi MacIntyre, Christian Manon, Sacha Horler, John Upton, Peter Callan, Dean Nottle, Paul Maybury, Saskia Campbell, Kristoffer Greaves, Dominic Condon, Elizabeth Allen, Katie Leigh, Evelyn Krape, Evelyn Krape, Charles Bartlett, Michael Edward-Stevens, Al Mancini, Larry Moss, Lisa Bailer, Lisa Bailey, Blayn Barbosa, Victor Brandt, Jeannie Elias, Pippa Grandison, J. D. Hall, Mark Hammond, Wendy Hammers, Julie Offen, Scotty Leavenworth, Julie Oppenheimer, Deborah Packer, Roger Rose, Carly Schroeder, Steve Kramer, Joseph R. Sicari, Barbara Harris, Aaron Spann, Lexi Thomas, Jim Cummings, Nathan Kress"
"Affair in Trinidad","1952","Vincent Sherman","Rita Hayworth","Rita Hayworth, Glenn Ford, Torin Thatcher, Juanita Moore, Alexander Scourby, Joel Fluellen, Jiří Voskovec, Steven Geray, Mort Mills, Valerie Bettis, John Sherman, Gregg Martell, Ralph Moody"
"Hiding Out","1987","Bob Giraldi","Jeff Rothberg","Jon Cryer, Annabeth Gish, Keith Coogan, Oliver Cotton, Claude Brooks, Joy Behar, Jon Cryer, Lou Walker, Gretchen Cryer, Tim Quill, Alexandra Auder, Tony Soper, Ned Eisenberg, Marita Geraghty, Steven Small, Johnny Walker, John Spencer, Anne Pitoniak, Beth Ehlers, Nancy Fish, Richard Portnow, Gerry Bamman, Jack Gilpin, Lee Anthony Brisbon, David L. Robinson, Daryl Smith, Gloria Crist, Tom Morgan, Muriel 'Dolly' Sherman, Lorri Lindberg, Rick Warner, Lou Criscuolo, Nicky Hammerhead, Dick Olsen, Warren Keith, Tom McGovern, Paul Sparer, Phillip Suarez, Lamon Spainhour, John Ward, Jeff Manning, Joshua Schouten, Tim Caudle, Joseph E. Foley, Andrew S. Herzog, Mike Schutte, Mary B. Erne, Herbert Erne Jr., Elizabeth A. Bache, Dereck Fulton, David Anthony Higgins, George Whitley, Joe Fagen, Julie Tamisiea"
"Velvet Goldmine","1998","Todd Haynes","Christine Vachon, Bob Weinstein","Ewan McGregor, Jonathan Rhys Meyers, Christian Bale, Toni Collette, Eddie Izzard, Lindsay Kemp, Emily Woof, Mairead McKinley, Luke Morgan Oliver, Osheen Jones, Micko Westmoreland, Michael Feast"
"Fear","1996","James Foley","Brian Grazer, Ric Kidney, Karen Snow","Reese Witherspoon, Mark Wahlberg, Alyssa Milano, William Petersen, Amy Brenneman, Tracy Fraim, Gary Riley, Christopher Gray, Jason Kristofer, Andrew Airlie, Todd Caldecott, Jed Rees, John Oliver, David Fredericks, Ravinder Toor, Andrew Airlie, Jo Bates, Will Sengotta, L. Harvey Gold, Banner, Rana Morrison"
"Shattered Glass","2003","Billy Ray","Gaye Hirsch, Adam Merims, Craig Baumgarten, Marc Butan, Tove Christensen","Hayden Christensen, Peter Sarsgaard, Chloë Sevigny, Steve Zahn, Melanie Lynskey, Hank Azaria, Rosario Dawson, Simone-Elise Girard, Mark Blum, Chad Donella, Cas Anvar, Jamie Elman, Luke Kirby, Ted Kotcheff, Linda Smith, Owen Roth, Bill Rowat"
"The Whales of August","1987","Lindsay Anderson","Mike E. Kaplan, Karolyn Pfeiffer, Carolyn Pfeiffer","Bette Davis, Lillian Gish, Ann Sothern, Mary Steenburgen, Vincent Price, Margaret Ladd, Tisha Sterling, Harry Carey Jr., Frank Grimes, Frank Pitkin"
"Steel Magnolias","1989","Herbert Ross","Ray Stark","Sally Field, Dolly Parton, Shirley MacLaine, Olympia Dukakis, Julia Roberts, Daryl Hannah, Janine Turner, Tom Skerritt, Dylan McDermott, Sam Shepard, Kevin J. O'Connor, Bill McCutcheon, Ann Wedgeworth, Knowl Johnson, Jonathan Ward, Bibi Besch, James Wlcek, Ronald Young, Nancy Parsons, Robert Ginnaven, Tom Hodges, Rick Hurst, Robert Harling, C. Houser, Daniel Camp, Norman Fletcher, Lori Tate, Robert Adams, Carol Sutton, Rodney Alan Fulton, Spencer Henderson, Sandra Asbury-Johnson, Gale J. Odom, Betsy Widhalm, Oscar J. Bienvenu Jr., Teresa Beaudion, Gladys Mallard, Betty J. Dove, Travis Harrison, James Shapkoff III, Walker May, Robert R. Morgan, Roger D. McCann, Debbie McCann, Trent Dawson, Aja Sansone"
"The Doors","1991","Oliver Stone","Oliver Stone, Brian Grazer","Val Kilmer, Meg Ryan, Kathleen Quinlan, Billy Idol, Jennifer Tilly, Kyle MacLachlan, Frank Whaley, Kevin Dillon, Paul Williams, Bill Graham, Josh Evans, Dennis Burkley, Annie McEnroe, Crispin Glover, John Densmore, Michael Wincott, Mimi Rogers, Lisa Edelstein, Debi Mazar, Oliver Stone, Michael Madsen, Gretchen Becker, Jerry Sturm, Sean Stone, Kendall Deichen, Floyd Red Crow Westerman, Rion Hunter, Wes Studi, Steve Reevis, Bernard Telsey, Bruce MacVittie, Andrew Lauer, Harmonica Fats, Kelly Hu, John T. Forristal III, Josie Bissett, Fiona, Robert LuPone, Paul A. Rothchild, John Capodice, Eric Burdon, Nellie Red Owl, Victoria Seeger, Jacqui Bell, Sergio Premoli, Mark Moses, Frank Military, Deborah Falconer, Michele Bronson, Will Jordan, Sam Whipple, Charlie Spradling, Erik Dellums, Jennifer Rubin, Kristina Hare, Costas Mandylor, Christina Fulton, Bernt Kuhlmann, Claire Stansfield, Karina Lombard, Christopher Lawford, Dani Klein, Laura Esterman, Deborah Lupard, Ashley Stone, Richard Rifkin, Chris Boyle, Adrian Scott, Titus Welliver, Eagle-Eye Cherry, David Allen Brooks, Danny Sullivan, Stanley White, Frank Girardeau, Bonnie Bramlett, Rodney A. Grant, Brad von Beltz, Hawthorne James, Csynbidium, Cirsten Weldon, Patricia Kennealy-Morrison, Davidson Thomson, Leonard Crow Dog, Carmella Runnels, Keith Reddin, Billy Vera, Allan Graf, Jack McGee, Alan Manson, William Kunstler, Peter Crombie, Robert Marshall, Tudor Sherrard, Jad Mager, Kelly Leach, Richard Rutowski, Theresa Bell, Cindi Braun, Cait Brennan, Kathy Brolly"
"Say Anything...","1989","Cameron Crowe","Polly Platt","John Cusack, Ione Skye, John Mahoney, Lili Taylor, Joan Cusack, Don ""The Dragon"" Wilson, Jason Gould, Jeremy Piven, Amy Brooks, Philip Baker Hall, Eric Stoltz, Bebe Neuwirth, Dan Castellaneta, Pamela Adlon, Loren Dean, Chynna Phillips, Glenn Walker Harris Jr., Gloria Cromwell, Russel Lunday, Polly Platt, Jaime Gomez, Patrick O'Neill"
"St. Elmo's Fire","1985","Joel Schumacher","Lauren Shuler Donner","Judd Nelson, Andrew McCarthy, Ally Sheedy, Rob Lowe, Demi Moore, Mare Winningham, Emilio Estevez, Martin Balsam, Jenny Wright, Joyce Van Patten, Andie MacDowell, Matthew Laurance, Gina Hecht, Anna Maria Horsford, Patrick Winningham, Andy Scott, Christian Iraberen, Daniel Iribarren, James Carrington, Blake Clark, Jon Cutler, Kaaren Lee, Nora Meerbaum, Don Moss, Whip Hubley, Michele Winding, Jim Turner, Mario Machado, Judy Kain, Seth Jaffe, Jeffrey Lampert, Elizabeth Arlen, Scott Nemes, Bernadette Birkett, Vincent J. Isaac, Dean R. Miller, Jamie Anders, Cindi Dietrich, David Lain Baker, Daniel Eden, Laurel Page, Thom Bierdz, J.T. Solomon, Stephanie Feury, Bennet Bowman"
"The Funeral","1996","Abel Ferrara","Mary Kane","Isabella Rossellini, Chris Penn, Annabella Sciorra, Vincent Gallo, Christopher Walken, Gretchen Mol, Benicio del Toro, John Ventimiglia, Paul Hipp, Paul Perri, Victor Argo, Robert Miano, David Patrick Kelly"
"Hard Eight","1996","Paul Thomas Anderson","Robert Jones, John S. Lyons","Philip Baker Hall, John C. Reilly, Gwyneth Paltrow, Samuel L. Jackson, Robert Ridgely, Philip Seymour Hoffman, Melora Walters, F. William Parker, Nathanael Cooper, Steve Blane, Xaleese, Michael J. Rowe, Peter D'Allesandro"
"The Beat Generation","1959","Charles F. Haas","Albert Zugsmith","Steve Cochran, Mamie Van Doren"
"Punch-Drunk Love","2002","Paul Thomas Anderson","Paul Thomas Anderson, Daniel Lupi, JoAnne Sellar","Adam Sandler, Jason Andrews, Don McManus, Emily Watson, Luis Guzmán, Rico Bueno, Hazel Mailloux, Karen Kilgariff, Julie Hermelin, Salvador Curiel, Jorge Barahona, Ernesto Quintero, Julius Steuer, Mary Lynn Rajskub, Lisa Spector, Nicole Gelbard, Mia Weinberg, Karen Hermelin, Philip Seymour Hoffman, Robert Smigel, David Schrempf, Seann Conway, Larry Ring, Kerry Gelbard, Ashley Clark, Alan Parry, John E. Beck, Eddie Wayne Howell, Taylor J. Thomas, Bobby Bluehouse, David Stevens, Nathan Stevens, Carol Mirelez, June Sepulveda, Andrew Higgs, Rogerlyn Kanealii Wakinekona, Mike D. Stevens, Catherine Cooley, Michael Immel, Ross Lasi Tanoai, Jonathan Loughran, Kaila, Ku'Ulei, Sissy Lake, Marie Irwin, Esther Imade Balogun, Thomas Bornt, Mary Kilmartin, Sam Polson, Wells Rosales, James Stevens, Shelley Waggener"
"F.I.S.T","1978","Norman Jewison","Gene Corman","Sylvester Stallone, Tony Lo Bianco, Melinda Dillon, Kevin Conway, Rod Steiger, Peter Boyle, Anthony Kiedis, Ken Kercheval, Richard Herd, Henry Wilcoxon, Peter Donat, Cassie Yates, Elena Karam, John Lehne, David Huffman"
"Beyond Borders","2003","Martin Campbell","Dan Halsted, Lloyd Phillips","Angelina Jolie, Clive Owen, Noah Emmerich, Linus Roache, Elizabeth Whitmere, Yorick van Wageningen, Timothy West, John Gausden, Teri Polo, Isabelle Horler, Kate Trotter, Jonathan Higgins, Iain Lee, Keelan Anthony, John Bourgeois, Kalyane Tea, Julian Casey, Norm Berketa, Aidan Pickering, Nambitha Mpumlwana, Fikile Nyandeni, Tony Robinow, Andrew French, Jamie Bartlett, Tumisho Masha, Kate Ashfield, Faye Peters, John Matshikiza, Zaa Nkweta, Sahajak Boonthanakit, Dennis Tan, Doan Jaroen-Ngarm Mackenzie, Burt Kwouk, Teerawat Mulvilai, Bertrand A. Henri, Jasmin Geljo, Francis X. McCarthy, Manuel Tadros, Joseph Antaki, Vladimir Radian, Emma Stevens, Rob Burns, Matthew Tiffin, Mark Antony Krupa, Roman Chtinov, Donovan Ganeb, Melissa Auf der Maur, Sam Roberts, Steve Durand, Kelli Scott, Eric Digras, Chanida Yasiri, Jordon Zadorozny, Robin Wilcock"
"Fame","1980","Alan Parker","David De Silva, Alan Marshall","Irene Cara, Maureen Teefy, Gene Anthony Ray, Lee Curreri, Laura Dean, Paul McCrane, Barry Miller, Antonia Franceschi, Anne Meara, Boyd Gaines, Eddie Barth, Jim Moody, Meg Tilly, Albert Hague, Richard Belzer, Isaac Mizrahi, Steve Inwood, Tresa Hughes"
"The River","1984","Mark Rydell","","Mel Gibson, Scott Glenn, Sissy Spacek, Billy Green Bush, Frank Hoyt Taylor, James Tolkan, Bob W. Douglas, Don Hood, Becky Jo Lynch, Lisa Sloan, Kelly Toomey, Larry D. Ferrell, Susie Toomey, Shane Bailey, Andrew Stahl, Ivan Green, Desmond Couch, Charles G. Riddlenm, Jim Antonio, Samuel Scott Osborne, Amy Rydell, David Hart, Barry Primus, Mark Erickson, Jack Starrett, Charles Robinson, Dean Whitworth, Chuck Hanson, Ira M. Quillen II, Matt Bearson, Timothy Shadden, Elizabeth Lane, Gary Gershaw"
"You Can Count on Me","2000","Kenneth Lonergan","Barbara De Fina, Martin Scorsese, Jeffrey Sharp, Larry Meistrich, John Hart","Laura Linney, Mark Ruffalo, Matthew Broderick, Rory Culkin, Jon Tenney, J. Smith-Cameron, Gaby Hoffmann, Amy Ryan, Adam LeFevre, Halley Feiffer, Kenneth Lonergan, Nina Garbiras, Whitney Vance, Michael Countryman, Peter Kerwin, Josh Lucas, Betsy Aidem, Lisa Altomare, Richard Hummer, Kim Parker, Allan Gill, Brian Ramage, Kevin Kean Murphy"
"Legends of the Fall","1994","Edward Zwick","Edward Zwick, Marshall Herskovitz, William D. Wittliff","Brad Pitt, Anthony Hopkins, Henry Thomas, Aidan Quinn, Julia Ormond, Karina Lombard, Gordon Tootoosis, Bart the Bear, Tantoo Cardinal, Christina Pickles, Robert Wisden, Kenneth Welsh, John Novak, Paul Desmond, Bill Dow, Sam Sarkar, Nigel Bennett, Sekwan Auger, David Kaye, Christine Harder, Charles Andre, Weston McMillan, Keegan Macintosh, Eric Johnson, Randall Slavin, Doug Hughes, Aaron Goettel, Bill Croft, Ray Godshall, Marc Levy, Ken Kirzinger, Winnie Hung, Simon Sherwood, Rob Hrdlicka, Channing Knull, John D. Cameron, Gary A. Hecker, Matthew Robert Kelly, Larry Lefebvre, Brian Stollery"
"Uncle Buck","1989","John Hughes","John Hughes, Tom Jacobson","John Candy, Jean Louisa Kelly, Macaulay Culkin, Amy Madigan, Laurie Metcalf, Gaby Hoffmann, Jay Underwood, Brian Tarantina, Mike Starr, Suzanne Shepherd, Garrett M. Brown, Elaine Bromka, Anna Chlumsky, William Windom, Joel Robinson, Dennis Cockrum, Donald Faison, Colin Baumgartner, Erik Whipple, Mark Rosenthal, Doug von Nessen, Wayne Kneeland, Gigi Casler, LaVerne Anderson, Gina Doctor, Rachel Thompson Perrine, Ron Payne, Jane Vickerilla, Kyle Lewis Eastman, Dana Taylor, Jennifer Kane, Christen Loftis, Genae Affrunti, Betsy Bottando, Julia Morgan, Granville Ames, Ramey Ellis, Leigh French, Patricia Arquette, Laura Jacoby, Devon Odessa, Arnold F. Turner, Garin Bouble, Tim Hoskins, Julie Payne, Jack Blessing, Todd Larson, Kevin Bassett, Michael Berkowitz, Cathy Carlson, Anthony Joseph Fatigato, Ryan Goldstein, Robert Minkoff"
"The Next Karate Kid","1994","Christopher Cain","Jerry Weintraub, Susan Ekins, R.J. Louis","Hilary Swank, Pat Morita, Michael Ironside, Constance Towers, Chris Conrad, Walton Goggins, Arsenio 'Sonny' Trinidad, Michael Cavalieri, Jim Ishida, Rodney Kageyama, Seth Sakai, Eugene Boles, Keena Keel, Tom O'Brien, Thomas Downey, Brian McGrail, Wayne Chou, Daniel Inouye, Gustave Johnson, Brian Smiar, Christopher Beam, Eric Beam, Scott Powderly, Davis Robinson, Anthony Ejarque, Steven Mark Friedman, Christopher Wilder, Annette Miller, Bud Ekins, Paul Bronk, Fred Fontana, Julie Weintraub, Johnny Melton, Chad Melton, Scott Strupe, Melissa Calheno, Phillip V. Caruso, Mark Grant, Dan Marshall, Frank Principe, Hebron Simckes-Joffe, Jason Yee"
"Change of Habit","1969","William A. Graham","","Mary Tyler Moore, Elvis Presley, Ed Asner, Jane Elliot, Barbara McNair, Robert Emhardt, Doro Merande, Leora Dana, Regis Toomey"
"Killing Zoe","1993","Roger Avary","Samuel Hadida","Eric Stoltz, Julie Delpy, Jean-Hugues Anglade, Gary Kemp, Bruce Ramsay, Salvator Xuereb, Tai Thai, Djimon Hounsou, Martin Raymond, Eric Pascal Chaltiel, Kario Salem, Elise Renee, Cecilia Peck, Ron Jeremy, Gian-Carlo Scandiuzzi, Gérard Bonn, Gladys Holland, Chris Tragos, George Hernandez, Rich Turner, Kimberly Beck, Sandra Larédo, David Richard Thompson, Bernard Baski, Michel Jean-Philippe, Michael Kayman, Sean Galuszka"
"American Gigolo","1980","Paul Schrader","Jerry Bruckheimer","Richard Gere, Lauren Hutton, Héctor Elizondo, Bill Duke, Nina van Pallandt, Macdonald Carey, Carole Cook, K Callan, Carol Bruce, William Dozier, Brian Davies, Frances Bergen, Tom Stewart, Patricia Carr, David Cryer, Peter Turgeon, Robert Wightman, Richard Derr, Jessica Potter, Gordon Haight, Carlo Alonso, Michael Goyak, Frank Pesce, Judith Ransdell, John Hammerton, Michele Drake, Linda Horn, Faye Michael Nuell, Eugene Jackson, Roma Alvarez, Dawn Adams, Bob Jardine, Harry Davis, Nanette Tarpey, Maggie Jean Smith, Pamela Fong, Randy Stokey, Harris Weingart, James Currie, Norman Stevans, Betty Canter, Laura Gile, Brent Dunsford, Barry Satterfield, Sam L. Nickens, William Valdez, Mary Helen Barro, John H. Lowe, Kopi Sotiropulos, Gordon W. Grant, Ron Cummins"
"The Company","2003","Robert Altman","Pamela Koffler, Neve Campbell, Robert Altman, Christine Vachon, David Levy, Joshua Astrachan","Neve Campbell, Malcolm McDowell, James Franco, Barbara Robertson, Susie Cusack, John Lordan, Roderick Peeples, Marilyn Dodds Frank, Mariann Mayberry, Yasen Peyankov, Davis C. Robertson, Deborah Dawn, John Gluckman, David Gombert, Suzanne L. Prisco, Domingo Rubio, Emily Patterson, Maia Wilkins, Sam Franke, Trinity Hamilton, Julianne Kepley, Valerie Robin, Deanne Brown, Michael Smith, Matthew Roy Prescott"
"Ship of Fools","1965","Stanley Kramer","Stanley Kramer","Vivien Leigh, Simone Signoret, José Ferrer, Lee Marvin, Oskar Werner, George Segal, BarBara Luna, Michael Dunn, Elizabeth Ashley, José Greco, Charles Korvin, Heinz Rühmann, Lilia Skala, Alf Kjellin, Christiane Schmidtmer, John Wengraf, Olga Fabian, Gila Golan, Oscar Beregi Jr., Stanley Adams, Kaaren Verne, Charles De Vries, Henry Calvin, Peter Mamakos, Paul Daniel, David Renard, Lydia Torea, Rudy Carrela, Silvia Marino, Anthony Brand, John Alvar, Antonio, Eddie Baker, Vicki Cos, Walter Friedel, Steven Geray, Charles H. Radilak, Rosario, Bert Rumsey, Werner Klemperer"
"My Girl","1991","Howard Zieff","Brian Grazer","Peter Michael Goetz, Anna Chlumsky, Jamie Lee Curtis, Macaulay Culkin, Richard Masur, Dan Aykroyd, Griffin Dunne, Ray Buktenica, Ann Nelson, Jane Hallaren, Anthony R. Jones, Tom Villard, Lara Steinick, Kristian Truelsen, David Caprita, Jody Wilson, Linda Perri, Nancy L. Chlumsky, Glenda Chism, Bill Cordell, George Colangelo, Anthony Finazzo, Shane Obedzinski, Zachary McLemore, T.J. Collazo, Cassi Abel, Amanda Cole, Bree Butler, Harvey Bellman, John DeRussy, Henry Kohn, Florence Mistrot, Anthony Giaimo, Edgar Allan Poe IV, Robert V. Girolami, Kurt Smildsin, Paul Nagle Jr., Lynn Sellers, Blair Barnette, Sven Granlund, Victor Iemolo, Kevin Richardson, L.A. Rothman"
"Hamburger Hill","1987","John Irvin","Jerry Offsay","Dylan McDermott, Steven Weber, Courtney B. Vance, Don Cheadle, Michael Boatman, Michael Dolan, Harry O'Reilly, Michael A. Nickles, Tommy Swerdlow, Don James"
"The Terminal","2004","Steven Spielberg","Steven Spielberg, Walter Parkes, Laurie MacDonald","Tom Hanks, Catherine Zeta-Jones, Stanley Tucci, Jude Ciccolella, Rini Bell, Eddie Jones, Diego Luna, Chi McBride, Barry Shabaka Henley, Kumar Pallana, Zoe Saldana, Corey Reynolds, Guillermo Díaz, Stephen Mendel, Valery Nikolaev, Michael Nouri, Ana Maria Quintana, Bob Morrisey, Sasha Spielberg, Susan Slome, Mik Scriba, Jim Ishida, Carlease Burke, Stephon Fuller, Dan Finnerty, Anastasia Basil, Lydia Blanco, Joseph Davis, Tonya Ivey, Kevin Mukherji, John Eddins, Kenneth Choi, Cas Anvar, Conrad Pla, Danette Mackay, Ian Finlay, Janique Kearns, Eddie Santiago, Kevin Ryder, Dusan Dukic, Mark Ivanir, Matt Holland, Buster Williams, Mike LeDonne, Carl Allen, Scott Adsit, Robert Covarrubias, Terry Haig, Jeff Michael, Dilva Henry, Michelle Arthur, Thinh Truong Nguyen, Sandrine Kwan, Carl Alacchi, Tanya van Blokland, Évelyne de la Chenelière, Laurie Meghan Phelps, Hayati Akbas, William Alva, Cass Asher, Claudia Barroso, Alex E. Burns, Dan Chase, Guistina Chirco, Christine Chow, Jennifer Chu, Chad R. Davis, Michael Eliopoulos, Susan Engel, Hondo Flemming, Marston Fobbs, Riad Galayini, Jerald Garner, Charley Gilleran, Justin Rodgers Hall, Mohammed Hassan, Amber Havens, Ksenia Jarova, Barry Julien, Boyd Kelly, Svilena Kidess, Kurt Larson, Kamal Marayati, Zuzana Hibdon, Joram Moreka, Ismael Moreno, Toyin Moses, Martha Neavill, Benjamin Ochieng, Alyshia Ochse, Rachel Oliva, Nick Puga, Kingslee Purcell, Toufig Tulsiram, Nicole Rayburn, Mel Rodriguez, Rhea Roma, Tony Sagastizado I, Ani Sava, Mikael Sharafyan"
"200 Cigarettes","1999","Risa Bramon Garcia","Betsy Beers","Martha Plimpton, Paul Rudd, Christina Ricci, Angela Featherstone, Courtney Love, Ben Affleck, Casey Affleck, Jay Mohr, Catherine Kellner, Brian McCardie, Gaby Hoffmann, Dave Chappelle, Janeane Garofalo, Kate Hudson, Nicole Ari Parker, Guillermo Díaz"
